"Filename","Total_Copies","Content_Status","Unique_Versions","File_Size_KB","Paths"
"build_assembly.FCMacro","12","DIFFERENT VERSIONS","3","0.58","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_assembly.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\Assembly\build_assembly.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\Assembly\build_assembly.FCMacro"
"build_diffuser.FCMacro","12","DIFFERENT VERSIONS","4","1.96","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_diffuser.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\01_Diffuser\build_diffuser.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\01_Diffuser\build_diffuser.FCMacro"
"build_nozzle.FCMacro","12","DIFFERENT VERSIONS","3","1.52","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_nozzle.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\02_Nozzle\build_nozzle.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\02_Nozzle\build_nozzle.FCMacro"
"build_retainer.FCMacro","12","DIFFERENT VERSIONS","3","1.11","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_retainer.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\04_Retainer\build_retainer.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\04_Retainer\build_retainer.FCMacro"
"build_vanepacks.FCMacro","12","DIFFERENT VERSIONS","3","1.41","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_vanepacks.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\03_VanePacks\build_vanepacks.FCMacro"
"DAQ_Logger_Config_RUN3.xlsx","2","IDENTICAL","1","5.88","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\templates\DAQ_Logger_Config_RUN3.xlsx; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\docs\templates\DAQ_Logger_Config_RUN3.xlsx"
"Design_vNext_Readout_FULL.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\14_Reports\Design_vNext_Readout_FULL.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\14_Reports\Design_vNext_Readout_FULL.docx"
"ELC_Frequency_Response.xlsx","2","IDENTICAL","1","8.26","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\08_Electrical_Control_Unit\ELC_Frequency_Response.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\08_Electrical_Control_Unit\ELC_Frequency_Response.xlsx"
"ELC_Inverter_Tuning_RUN2.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\08_Electrical_Control_Unit\ELC_Inverter_Tuning_RUN2.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\08_Electrical_Control_Unit\ELC_Inverter_Tuning_RUN2.docx"
"Engineering_Rational_Nozzle_9mm_.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\02_Nozzle_9mm_PreSwirl\Engineering_Rational_Nozzle_9mm_.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\02_Nozzle_9mm_PreSwirl\Engineering_Rational_Nozzle_9mm_.docx"
"Engineering_Rationale_Hyperbolic_Inlet.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Engineering_Rationale_Hyperbolic_Inlet.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Engineering_Rationale_Hyperbolic_Inlet.docx"
"export_batch.FCMacro","11","DIFFERENT VERSIONS","3","1.04","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\scripts\export_batch.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\scripts\export_batch.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\scripts\export_batch.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\export_batch.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\scripts\export_batch.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\scripts\export_batch.FCMacro"
"Go_NoGo_Packet.docx","2","IDENTICAL","1","35.84","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_FULL_Workspace\Master_Package\Go_NoGo_Packet.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\07_Docs\Documentation\Go_NoGo_Packet.docx"
"GoNoGo_Packet.docx","2","IDENTICAL","1","35.85","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_Full_Package\GoNoGo_Packet.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\07_Docs\Documentation\GoNoGo_Packet.docx"
"Hyberbolic_Inlet_Design.docx","2","IDENTICAL","1","12.88","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyberbolic_Inlet_Design.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyberbolic_Inlet_Design.docx"
"HYDRAM_RUN2_Overview.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\04_Hydram_Research_Unit\HYDRAM_RUN2_Overview.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\04_Hydram_Research_Unit\HYDRAM_RUN2_Overview.docx"
"Hyperbolic_Inlet_BOM.xlsx","2","IDENTICAL","1","8.26","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyperbolic_Inlet_BOM.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyperbolic_Inlet_BOM.xlsx"
"Hyperbolic_Inlet_Drawing.svg.docx","2","IDENTICAL","1","12.92","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyperbolic_Inlet_Drawing.svg.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\01_Tank_Inlet_Hyperbolic\Hyperbolic_Inlet_Drawing.svg.docx"
"Import_Config.json","10","DIFFERENT VERSIONS","3","0.08","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_FULL_Workspace\Automation\Import_Config.json; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\Import_Config.json; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\Import_Config.json; MICRO HYDRO NEW\MicroHydroV1\automation\Import_Config.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\automation\Import_Config.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\automation\Import_Config.json; MicroHydroV1 — SoT\MicroHydroV1\automation\Import_Config.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\automation\Import_Config.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\automation\Import_Config.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\automation\Import_Config.json"
