Filename,Total_Copies,Content_Status,Unique_Versions,File_Size_KB,Paths_Summary
Tank_Ripple_Datasheet.xlsx,2,IDENTICAL,1,125,"MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Tank_Ripple_Test/; MASTER_PRODUCTION_PACKAGE 2/"
TANK_Ripple_Model.xlsx,4,IDENTICAL,1,115,"Referenced in both Hydram Research Unit and Tank Hydraulics Unit (2x in each package)"
Tank_Ripple_Procedure.docx,6,DIFFERENT,2,156,"MASTER packages, SoT, and Work/ deployment stages - versions differ"
Tank_Ripple_Sensor_Mounting.svg.docx,2,IDENTICAL,1,95,"MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/Tank_Ripple_Test/; MASTER_PRODUCTION_PACKAGE 2/"
Tesla_Summaries.docx,2,IDENTICAL,1,105,"MASTER_PRODUCTION_PACKAGE/12_Patents/; MASTER_PRODUCTION_PACKAGE 2/"
Test_Campaign_Plan.docx,8,DIFFERENT,2,185,"MASTER packages, SoT docs, and multiple Work/ stages with revisions"
VanePack_Sketch_10deg.dxf,2,IDENTICAL,1,32,"MicroHydroV1_Shapr3D_ReferenceModel/DXF/; v2/DXF_R12/"
VanePack_Sketch_20deg.dxf,2,IDENTICAL,1,32,"MicroHydroV1_Shapr3D_ReferenceModel/DXF/; v2/DXF_R12/"
VanePack_Sketch_30deg.dxf,2,IDENTICAL,1,32,"MicroHydroV1_Shapr3D_ReferenceModel/DXF/; v2/DXF_R12/"
validate_repo.py,6,IDENTICAL,1,7,"tools/validate/ - 6 identical copies across SoT, Backup, Work branches"
Winter_Summaries.docx,2,IDENTICAL,1,98,"MASTER_PRODUCTION_PACKAGE/12_Patents/; MASTER_PRODUCTION_PACKAGE 2/"
